No.,Source,Destination,Version,Protocol,Length,Header Length,Total Length,Identification,TTL,Header Checksum,Attack
27,30.20.23.227,192.168.198.130,4,ICMP,42,20,129,0xde5c,128,0x0000,0
28,84.250.154.49,192.168.198.130,4,ICMP,42,20,90,0xac4f,118,0x2acc,0
29,26.59.57.36,192.168.198.130,4,ICMP,42,20,110,0x017e,128,0x0000,0
30,137.27.113.28,192.168.198.130,4,ICMP,42,20,287,0x0214,115,0xfa53,0
31,117.95.28.142,192.168.198.130,4,ICMP,42,20,52,0xde5c,128,0x0000,0
32,219.100.214.236,192.168.198.130,4,ICMP,42,20,78,0xac4f,118,0x2acc,0
33,224.79.178.4,192.168.198.130,4,ICMP,42,20,40,0x017e,128,0x0000,0
34,25.216.200.199,192.168.198.130,4,ICMP,42,20,143,0x0214,115,0xfa53,0
35,8.171.111.27,192.168.198.130,4,ICMP,42,20,71,0xe22f,56,0xf706,0
36,79.52.105.1,192.168.198.130,4,ICMP,42,20,28,0x0000,18,0x1918,1
37,200.1.187.99,192.168.198.130,4,ICMP,42,20,27,0x0000,17,0x4243,1
38,147.164.108.67,192.168.198.130,4,ICMP,42,20,26,0x0000,16,0x14ba,1
39,216.76.200.200,192.168.198.130,4,ICMP,42,20,25,0x0000,15,0x91ab,1
40,154.203.229.98,192.168.198.130,4,ICMP,42,20,24,0x0000,14,oxaf3b,1
41,26.99.215.149,192.168.198.130,4,ICMP,42,20,30,0x0000,15,0xv589,1
42,216.50.111.144,192.168.198.130,4,ICMP,42,20,29,0x0000,5,0x21ee,1
43,201.205.235.205,192.168.198.130,4,ICMP,42,20,40,0x0000,11,0x3189,1
44,199.214.140.26,192.168.198.130,4,ICMP,42,20,36,0x0000,67,0x7f8f,1
45,9.93.50.196,192.168.198.130,4,ICMP,42,20,38,0x0000,22,0xaa26,1
46,255.234.127.155,192.168.198.130,4,ICMP,42,20,40,0x0fa5,128,0x0000,0
47,27.155.203.50,192.168.198.130,4,ICMP,42,20,389,0x075e,116,0xb332,0
48,247.248.227.41,192.168.198.130,4,ICMP,42,20,40,0x3002,128,0x0000,0
49,187.14.14.107,192.168.198.130,4,ICMP,42,20,103,0x0760,116,0xb44e,0
50,240.20.4.109,192.168.198.130,4,ICMP,42,20,52,0xd5ee,128,0x0000,0
51,29.238.39.17,192.168.198.130,4,ICMP,42,20,52,0xacfc,128,0x0000,0
52,147.95.197.229,192.168.198.130,4,ICMP,42,20,52,0xacfd,128,0x0000,0
53,131.95.187.255,192.168.198.130,4,ICMP,42,20,52,0x4c53,104,0xea46,0
54,198.173.20.67,192.168.198.130,4,ICMP,42,20,40,0xacfe,128,0x0000,0
55,89.178.187.214,192.168.198.130,4,ICMP,42,20,557,0xacff,128,0x0000,0
56,4.136.18.247,192.168.198.130,4,ICMP,42,20,40,0x0000,13,0xcd85,1
57,26.79.23.82,192.168.198.130,4,ICMP,42,20,55,0x0000,36,oxc106,1
58,122.234.70.46,192.168.198.130,4,ICMP,42,20,40,0x0000,64,ox429d,1
59,215.159.101.144,192.168.198.130,4,ICMP,42,20,36,0x0000,55,ox4829,1
60,234.26.154.95,192.168.198.130,4,ICMP,42,20,38,0x0000,64,ox3041,1
61,19.24.193.34,192.168.198.130,4,ICMP,42,20,345,0xe22f,56,0xf706,0
62,78.27.216.231,192.168.198.130,4,ICMP,42,20,220,0x0fa5,128,0x0000,0
63,214.101.82.231,192.168.198.130,4,ICMP,42,20,116,0x075e,116,0xb332,0
64,0.76.133.46,192.168.198.130,4,ICMP,42,20,117,0x3002,128,0x0000,0
65,55.58.106.137,192.168.198.130,4,ICMP,42,20,105,0x0760,116,0xb44e,0
66,12.34.89.57,192.168.198.130,4,ICMP,42,20,52,0x9daf,105,0x97ea,0
67,109.236.79.219,192.168.198.130,4,ICMP,42,20,40,0xad00,128,0x0000,0
68,88.140.128.240,192.168.198.130,4,ICMP,42,20,40,0xaed4,115,0x2ccc,0
69,88.220.230.96,192.168.198.130,4,ICMP,42,20,40,0xdaf0,128,0x0000,0
70,197.12.124.66,192.168.198.130,4,ICMP,42,20,40,0x1b3d,128,0x0000,0
71,236.232.60.165,192.168.198.130,4,ICMP,42,20,22,0x0000,11,0xf973,1
72,12.106.8.100,192.168.198.130,6,ICMP,42,20,24,0x0000,12,0x5b7e,1
73,223.220.82.164,192.168.198.130,4,ICMP,42,20,23,0x0000,11,0x897d,1
74,90.50.107.183,192.168.198.130,6,ICMP,42,21,37,0x0000,21,0xaa13,1
75,66.197.199.210,192.168.198.130,4,ICMP,42,19,39,0x0000,28,0xf6db,1
76,220.70.115.216,192.168.198.130,4,ICMP,42,20,119,0x1b3d,128,0x0000,0
77,187.218.252.92,192.168.198.130,4,ICMP,42,20,129,0xde5c,128,0x0000,0
78,245.124.183.105,192.168.198.130,4,ICMP,42,20,310,0xac4f,118,0x2acc,0
79,1.47.214.82,192.168.198.130,4,ICMP,42,20,114,0x017e,128,0x0000,0
80,123.89.55.34,192.168.198.130,4,ICMP,42,20,197,0x0214,115,0xfa53,0
81,204.230.115.215,192.168.198.130,4,ICMP,42,20,52,0xde5c,128,0x0000,0
82,169.74.0.160,192.168.198.130,4,ICMP,42,20,780,0xac4f,118,0x2acc,0
83,20.232.92.143,192.168.198.130,4,ICMP,42,20,40,0x017e,128,0x0000,0
84,219.255.62.131,192.168.198.130,4,ICMP,42,20,143,0x0214,115,0xfa53,0
85,220.27.137.50,192.168.198.130,4,ICMP,42,20,71,0xe22f,56,0xf706,0
86,201.7.229.41,192.168.198.130,4,ICMP,42,20,28,0x0000,12,0x1918,1
87,210.234.240.234,192.168.198.130,4,ICMP,42,20,27,0x0000,2,0x4243,1
88,234.46.154.82,192.168.198.130,4,ICMP,42,20,49,0x0000,13,0x14ba,1
89,79.108.84.3,192.168.198.130,6,ICMP,42,20,64,0x0000,10,0x91ab,1
90,79.199.234.67,192.168.198.130,4,ICMP,42,20,64,0x0000,5,oxaf3b,1
91,34.31.108.127,192.168.198.130,4,ICMP,42,20,54,0x0000,8,0xv589,1
92,3.205.3.140,192.168.198.130,6,ICMP,42,20,41,0x0000,9,0x21ee,1
93,246.84.19.101,192.168.198.130,4,ICMP,42,20,32,0x0000,10,0x3189,1
94,216.88.14.20,192.168.198.130,4,ICMP,42,20,29,0x0000,9,0x7f8f,1
95,154.136.109.133,192.168.198.130,4,ICMP,42,20,35,0x0000,10,0xaa26,1
96,9.248.128.218,192.168.198.130,4,ICMP,42,20,40,0x0fa5,128,0x0000,0
97,124.161.108.194,192.168.198.130,4,ICMP,42,20,567,0x075e,116,0xb332,0
98,36.246.88.55,192.168.198.130,4,ICMP,42,20,780,0x3002,128,0x0000,0
99,26.220.84.216,192.168.198.130,4,ICMP,42,20,119,0x0760,116,0xb44e,0
100,95.76.236.20,192.168.198.130,4,ICMP,42,20,78,0xd5ee,128,0x0000,0
101,121.31.74.161,192.168.198.130,4,ICMP,42,20,52,0xacfc,128,0x0000,0
102,27.31.25.112,192.168.198.130,4,ICMP,42,20,52,0xacfd,128,0x0000,0
103,59.204.210.14,192.168.198.130,4,ICMP,42,20,52,0x4c53,104,0xea46,0
104,199.98.79.183,192.168.198.130,4,ICMP,42,20,40,0xacfe,128,0x0000,0
105,46.155.46.147,192.168.198.130,4,ICMP,42,20,557,0xacff,128,0x0000,0
106,99.227.101.240,192.168.198.130,4,ICMP,42,20,40,0x0000,13,0xcd85,1
107,234.164.213.1,192.168.198.130,4,ICMP,42,20,55,0x0000,36,oxc106,1
108,230.28.205.26,192.168.198.130,4,ICMP,42,20,40,0x0000,64,ox429d,1
109,129.197.36.92,192.168.198.130,4,ICMP,42,20,36,0x0000,55,ox4829,1
110,216.239.239.205,192.168.198.130,4,ICMP,42,20,38,0x0000,64,ox3041,1
111,121.205.31.59,192.168.198.130,4,ICMP,42,20,345,0xe22f,56,0xf706,0
112,55.98.109.218,192.168.198.130,4,ICMP,42,20,220,0x0fa5,128,0x0000,0
113,4.77.218.17,192.168.198.130,4,ICMP,42,20,116,0x075e,116,0xb332,0
114,17.227.26.206,192.168.198.130,4,ICMP,42,20,117,0x3002,128,0x0000,0
115,59.26.123.106,192.168.198.130,4,ICMP,42,20,105,0x0760,116,0xb44e,0
116,217.8.156.160,192.168.198.130,4,ICMP,42,20,52,0x9daf,105,0x97ea,0
117,156.171.76.17,192.168.198.130,4,ICMP,42,20,40,0xad00,128,0x0000,0
118,92.236.31.59,192.168.198.130,4,ICMP,42,20,40,0xaed4,115,0x2ccc,0
119,106.220.55.147,192.168.198.130,4,ICMP,42,20,40,0xdaf0,128,0x0000,0
120,214.138.30.26,192.168.198.130,4,ICMP,42,20,40,0x1b3d,128,0x0000,0
121,27.171.142.88,192.168.198.130,4,ICMP,42,20,22,0x0000,11,0xf973,1
122,142.214.99.203,192.168.198.130,4,ICMP,42,20,24,0x0000,12,0x5b7e,1
123,34.76.82.126,192.168.198.130,4,ICMP,42,20,23,0x0000,11,0x897d,1
124,254.136.201.250,192.168.198.130,4,ICMP,42,20,31,0x0000,21,0xaa13,1
125,100.248.74.34,192.168.198.130,4,ICMP,42,20,36,0x0000,28,0xf6db,1
126,140.220.200.154,192.168.198.130,4,ICMP,42,20,119,0x1b3d,128,0x0000,0
127,147.83.28.112,192.168.198.130,4,ICMP,42,20,129,0xde5c,128,0x0000,0
128,57.84.10.172,192.168.198.130,4,ICMP,42,20,90,0xac4f,118,0x2acc,0
129,159.100.154.4,192.168.198.130,4,ICMP,42,20,110,0x017e,128,0x0000,0
130,78.99.67.69,192.168.198.130,4,ICMP,42,20,287,0x0214,115,0xfa53,0
131,155.58.7.101,192.168.198.130,4,ICMP,42,20,52,0xde5c,128,0x0000,0
132,235.7.86.70,192.168.198.130,4,ICMP,42,20,78,0xac4f,118,0x2acc,0
133,19.143.55.98,192.168.198.130,4,ICMP,42,20,40,0x017e,128,0x0000,0
134,84.49.83.94,192.168.198.130,4,ICMP,42,20,143,0x0214,115,0xfa53,0
135,26.31.240.234,192.168.198.130,4,ICMP,42,20,71,0xe22f,56,0xf706,0
136,252.84.218.26,192.168.198.130,4,ICMP,42,20,28,0x0000,18,0x1918,1
137,140.19.86.24,192.168.198.130,4,ICMP,42,20,27,0x0000,17,0x4243,1
138,105.240.198.58,192.168.198.130,4,ICMP,42,20,26,0x0000,16,0x14ba,1
139,99.122.62.99,192.168.198.130,4,ICMP,42,20,25,0x0000,15,0x91ab,1
140,220.18.234.47,192.168.198.130,4,ICMP,42,20,24,0x0000,14,oxaf3b,1
141,40.46.213.31,192.168.198.130,4,ICMP,42,20,30,0x0000,15,0xv589,1
142,76.26.82.126,192.168.198.130,4,ICMP,42,20,29,0x0000,5,0x21ee,1
143,17.140.62.101,192.168.198.130,4,ICMP,42,20,40,0x0000,11,0x3189,1
144,220.136.124.46,192.168.198.130,4,ICMP,42,20,36,0x0000,67,0x7f8f,1
145,234.99.143.45,192.168.198.130,4,ICMP,42,20,38,0x0000,22,0xaa26,1
146,10.235.99.223,192.168.198.130,4,ICMP,42,20,40,0x0fa5,128,0x0000,0
147,10.161.171.197,192.168.198.130,4,ICMP,42,20,389,0x075e,116,0xb332,0
148,57.6.224.224,192.168.198.130,4,ICMP,42,20,40,0x3002,128,0x0000,0
149,115.131.27.247,192.168.198.130,4,ICMP,42,20,103,0x0760,116,0xb44e,0
150,14.97.124.99,192.168.198.130,4,ICMP,42,20,52,0xd5ee,128,0x0000,0
151,55.142.107.1,192.168.198.130,4,ICMP,42,20,52,0xacfc,128,0x0000,0
152,79.124.171.247,192.168.198.130,4,ICMP,42,20,52,0xacfd,128,0x0000,0
153,236.34.79.220,192.168.198.130,4,ICMP,42,20,52,0x4c53,104,0xea46,0
154,78.138.159.89,192.168.198.130,4,ICMP,42,20,40,0xacfe,128,0x0000,0
155,123.9.244.210,192.168.198.130,4,ICMP,42,20,557,0xacff,128,0x0000,0
156,109.4.28.205,192.168.198.130,4,ICMP,42,20,40,0x0000,13,0xcd85,1
157,194.26.199.83,192.168.198.130,4,ICMP,42,20,55,0x0000,36,oxc106,1
158,111.246.142.34,192.168.198.130,4,ICMP,42,20,40,0x0000,64,ox429d,1
159,52.4.154.23,192.168.198.130,4,ICMP,42,20,36,0x0000,55,ox4829,1
160,200.229.31.248,192.168.198.130,4,ICMP,42,20,38,0x0000,64,ox3041,1
161,8.244.202.234,192.168.198.130,4,ICMP,42,20,345,0xe22f,56,0xf706,0
162,40.124.223.223,192.168.198.130,4,ICMP,42,20,220,0x0fa5,128,0x0000,0
163,171.234.7.37,192.168.198.130,4,ICMP,42,20,116,0x075e,116,0xb332,0
164,127.95.230.19,192.168.198.130,4,ICMP,42,20,117,0x3002,128,0x0000,0
165,136.111.165.124,192.168.198.130,4,ICMP,42,20,105,0x0760,116,0xb44e,0
166,34.147.14.220,192.168.198.130,4,ICMP,42,20,52,0x9daf,105,0x97ea,0
167,77.50.29.137,192.168.198.130,4,ICMP,42,20,40,0xad00,128,0x0000,0
168,236.231.129.108,192.168.198.130,4,ICMP,42,20,40,0xaed4,115,0x2ccc,0
169,14.183.194.205,192.168.198.130,4,ICMP,42,20,40,0xdaf0,128,0x0000,0
170,154.88.140.147,192.168.198.130,4,ICMP,42,20,40,0x1b3d,128,0x0000,0
171,108.3.161.9,192.168.198.130,4,ICMP,42,20,22,0x0000,11,0xf973,1
172,124.158.47.154,192.168.198.130,4,ICMP,42,20,24,0x0000,12,0x5b7e,1
173,133.143.236.194,192.168.198.130,6,ICMP,42,20,23,0x0000,11,0x897d,1
174,123.123.137.216,192.168.198.130,4,ICMP,42,20,37,0x0000,21,0xaa13,1
175,198.27.240.93,192.168.198.130,6,ICMP,42,20,39,0x0000,28,0xf6db,1
176,154.229.247.205,192.168.198.130,4,ICMP,42,20,119,0x1b3d,128,0x0000,0
177,40.31.234.19,192.168.198.130,4,ICMP,42,20,129,0xde5c,128,0x0000,0
178,202.155.206.31,192.168.198.130,4,ICMP,42,20,310,0xac4f,118,0x2acc,0
179,140.88.183.90,192.168.198.130,4,ICMP,42,20,114,0x017e,128,0x0000,0
180,146.244.4.136,192.168.198.130,4,ICMP,42,20,197,0x0214,115,0xfa53,0
181,146.250.255.164,192.168.198.130,4,ICMP,42,20,52,0xde5c,128,0x0000,0
182,39.46.216.107,192.168.198.130,4,ICMP,42,20,780,0xac4f,118,0x2acc,0
183,66.205.133.74,192.168.198.130,4,ICMP,42,20,40,0x017e,128,0x0000,0
184,216.108.120.142,192.168.198.130,4,ICMP,42,20,143,0x0214,115,0xfa53,0
185,228.1.123.58,192.168.198.130,4,ICMP,42,20,71,0xe22f,56,0xf706,0
186,112.155.121.132,192.168.198.130,4,ICMP,42,20,28,0x0000,12,0x1918,1
187,187.41.58.137,192.168.198.130,4,ICMP,42,20,27,0x0000,2,0x4243,1
188,113.31.215.47,192.168.198.130,4,ICMP,42,20,49,0x0000,13,0x14ba,1
189,55.215.6.214,192.168.198.130,4,ICMP,42,20,64,0x0000,10,0x91ab,1
190,165.45.111.155,192.168.198.130,6,ICMP,42,20,64,0x0000,5,oxaf3b,1
191,244.121.169.235,192.168.198.130,4,ICMP,42,20,54,0x0000,8,0xv589,1
192,241.129.240.216,192.168.198.130,4,ICMP,42,20,41,0x0000,9,0x21ee,1
193,4.197.86.187,192.168.198.130,6,ICMP,42,20,32,0x0000,10,0x3189,1
194,31.49.128.255,192.168.198.130,4,ICMP,42,20,29,0x0000,9,0x7f8f,1
195,82.234.3.69,192.168.198.130,4,ICMP,42,20,35,0x0000,10,0xaa26,1
196,50.4.18.101,192.168.198.130,4,ICMP,42,20,40,0x0fa5,128,0x0000,0
197,60.213.55.31,192.168.198.130,4,ICMP,42,20,567,0x075e,116,0xb332,0
198,161.26.108.46,192.168.198.130,4,ICMP,42,20,780,0x3002,128,0x0000,0
199,197.229.31.137,192.168.198.130,4,ICMP,42,20,119,0x0760,116,0xb44e,0
200,36.212.194.117,192.168.198.130,4,ICMP,42,20,78,0xd5ee,128,0x0000,0
201,60.203.82.223,192.168.198.130,4,ICMP,42,20,52,0xacfc,128,0x0000,0
202,79.24.128.137,192.168.198.130,4,ICMP,42,20,52,0xacfd,128,0x0000,0
203,84.84.122.66,192.168.198.130,4,ICMP,42,20,52,0x4c53,104,0xea46,0
204,216.50.142.210,192.168.198.130,4,ICMP,42,20,40,0xacfe,128,0x0000,0
205,197.108.187.122,192.168.198.130,4,ICMP,42,20,557,0xacff,128,0x0000,0
206,194.255.8.4,192.168.198.130,4,ICMP,42,20,40,0x0000,13,0xcd85,1
207,255.34.90.254,192.168.198.130,4,ICMP,42,20,55,0x0000,36,oxc106,1
208,88.218.164.200,192.168.198.130,4,ICMP,42,20,40,0x0000,64,ox429d,1
209,223.26.231.131,192.168.198.130,4,ICMP,42,20,36,0x0000,55,ox4829,1
210,40.220.29.198,192.168.198.130,4,ICMP,42,20,38,0x0000,64,ox3041,1
211,198.138.214.246,192.168.198.130,4,ICMP,42,20,345,0xe22f,56,0xf706,0
212,217.27.255.255,192.168.198.130,4,ICMP,42,20,220,0x0fa5,128,0x0000,0
213,123.234.10.4,192.168.198.130,4,ICMP,42,20,116,0x075e,116,0xb332,0
214,14.55.108.255,192.168.198.130,4,ICMP,42,20,117,0x3002,128,0x0000,0
215,99.134.165.169,192.168.198.130,4,ICMP,42,20,105,0x0760,116,0xb44e,0
216,126.252.45.124,192.168.198.130,4,ICMP,42,20,52,0x9daf,105,0x97ea,0
217,197.236.19.88,192.168.198.130,4,ICMP,42,20,40,0xad00,128,0x0000,0
218,127.230.200.244,192.168.198.130,4,ICMP,42,20,40,0xaed4,115,0x2ccc,0
219,156.247.212.165,192.168.198.130,4,ICMP,42,20,40,0xdaf0,128,0x0000,0
220,36.144.133.241,192.168.198.130,4,ICMP,42,20,40,0x1b3d,128,0x0000,0
221,60.69.217.173,192.168.198.130,4,ICMP,42,20,22,0x0000,11,0xf973,1
222,214.154.229.123,192.168.198.130,4,ICMP,42,20,24,0x0000,12,0x5b7e,1
223,127.45.128.109,192.168.198.130,4,ICMP,42,20,23,0x0000,11,0x897d,1
224,229.220.6.26,192.168.198.130,4,ICMP,42,20,31,0x0000,21,0xaa13,1
225,223.142.220.212,192.168.198.130,4,ICMP,42,20,36,0x0000,28,0xf6db,1
226,96.10.193.193,192.168.198.130,4,ICMP,42,20,119,0x1b3d,128,0x0000,0
227,30.37.216.99,192.168.198.130,4,ICMP,42,20,129,0xde5c,128,0x0000,0
228,99.159.14.37,192.168.198.130,4,ICMP,42,20,90,0xac4f,118,0x2acc,0
229,17.164.20.255,192.168.198.130,4,ICMP,42,20,110,0x017e,128,0x0000,0
230,230.255.240.100,192.168.198.130,4,ICMP,42,20,287,0x0214,115,0xfa53,0
231,93.159.46.171,192.168.198.130,4,ICMP,42,20,52,0xde5c,128,0x0000,0
232,224.99.30.1,192.168.198.130,4,ICMP,42,20,78,0xac4f,118,0x2acc,0
233,138.14.205.107,192.168.198.130,4,ICMP,42,20,40,0x017e,128,0x0000,0
234,216.234.150.244,192.168.198.130,4,ICMP,42,20,143,0x0214,115,0xfa53,0
235,111.142.90.178,192.168.198.130,4,ICMP,42,20,71,0xe22f,56,0xf706,0
236,160.41.204.20,192.168.198.130,4,ICMP,42,20,28,0x0000,18,0x1918,1
237,101.12.200.49,192.168.198.130,4,ICMP,42,20,27,0x0000,17,0x4243,1
238,183.140.142.10,192.168.198.130,4,ICMP,42,20,26,0x0000,16,0x14ba,1
239,55.30.9.39,192.168.198.130,4,ICMP,42,20,25,0x0000,15,0x91ab,1
240,230.31.134.255,192.168.198.130,4,ICMP,42,20,24,0x0000,14,oxaf3b,1
241,49.66.224.199,192.168.198.130,4,ICMP,42,20,30,0x0000,15,0xv589,1
242,83.109.136.199,192.168.198.130,4,ICMP,42,20,29,0x0000,5,0x21ee,1
243,127.76.88.199,192.168.198.130,4,ICMP,42,20,40,0x0000,11,0x3189,1
244,47.163.46.240,192.168.198.130,4,ICMP,42,20,36,0x0000,67,0x7f8f,1
245,164.108.203.183,192.168.198.130,4,ICMP,42,20,38,0x0000,22,0xaa26,1
246,214.143.23.134,192.168.198.130,4,ICMP,42,20,40,0x0fa5,128,0x0000,0
247,17.100.101.129,192.168.198.130,4,ICMP,42,20,389,0x075e,116,0xb332,0
248,26.173.229.108,192.168.198.130,4,ICMP,42,20,40,0x3002,128,0x0000,0
249,101.223.255.31,192.168.198.130,4,ICMP,42,20,103,0x0760,116,0xb44e,0
250,134.142.164.133,192.168.198.130,4,ICMP,42,20,52,0xd5ee,128,0x0000,0
251,77.133.109.194,192.168.198.130,4,ICMP,42,20,52,0xacfc,128,0x0000,0
252,101.34.26.36,192.168.198.130,4,ICMP,42,20,52,0xacfd,128,0x0000,0
253,147.4.62.107,192.168.198.130,4,ICMP,42,20,52,0x4c53,104,0xea46,0
254,140.82.142.31,192.168.198.130,4,ICMP,42,20,40,0xacfe,128,0x0000,0
255,122.84.254.230,192.168.198.130,4,ICMP,42,20,557,0xacff,128,0x0000,0
256,41.247.232.165,192.168.198.130,4,ICMP,42,20,40,0x0000,13,0xcd85,1
257,255.230.58.183,192.168.198.130,4,ICMP,42,20,55,0x0000,36,oxc106,1
258,143.154.147.100,192.168.198.130,4,ICMP,42,20,40,0x0000,64,ox429d,1
259,90.123.6.78,192.168.198.130,4,ICMP,42,20,36,0x0000,55,ox4829,1
260,76.39.224.215,192.168.198.130,4,ICMP,42,20,38,0x0000,64,ox3041,1
261,217.143.136.26,192.168.198.130,4,ICMP,42,20,345,0xe22f,56,0xf706,0
262,1.101.20.142,192.168.198.130,4,ICMP,42,20,220,0x0fa5,128,0x0000,0
263,108.229.97.240,192.168.198.130,4,ICMP,42,20,116,0x075e,116,0xb332,0
264,236.4.203.108,192.168.198.130,4,ICMP,42,20,117,0x3002,128,0x0000,0
265,183.169.128.140,192.168.198.130,4,ICMP,42,20,105,0x0760,116,0xb44e,0
266,220.93.59.112,192.168.198.130,4,ICMP,42,20,52,0x9daf,105,0x97ea,0
267,124.18.199.205,192.168.198.130,4,ICMP,42,20,40,0xad00,128,0x0000,0
268,124.236.66.3,192.168.198.130,4,ICMP,42,20,40,0xaed4,115,0x2ccc,0
269,88.82.223.6,192.168.198.130,4,ICMP,42,20,40,0xdaf0,128,0x0000,0
270,143.200.244.1,192.168.198.130,4,ICMP,42,20,40,0x1b3d,128,0x0000,0
271,127.95.165.52,192.168.198.130,4,ICMP,42,20,22,0x0000,11,0xf973,1
272,154.7.76.231,192.168.198.130,4,ICMP,42,20,24,0x0000,12,0x5b7e,1
273,163.133.248.173,192.168.198.130,4,ICMP,42,20,23,0x0000,11,0x897d,1
274,14.66.238.34,192.168.198.130,6,ICMP,42,20,37,0x0000,21,0xaa13,1
275,232.117.196.88,192.168.198.130,4,ICMP,42,20,39,0x0000,28,0xf6db,1
276,134.197.88.133,192.168.198.130,6,ICMP,42,20,119,0x1b3d,128,0x0000,0
277,109.245.234.138,192.168.198.130,4,ICMP,42,20,129,0xde5c,128,0x0000,0
278,97.200.39.236,192.168.198.130,4,ICMP,42,20,310,0xac4f,118,0x2acc,0
279,70.230.47.27,192.168.198.130,4,ICMP,42,20,114,0x017e,128,0x0000,0
280,82.108.3.82,192.168.198.130,4,ICMP,42,20,197,0x0214,115,0xfa53,0
281,24.121.128.224,192.168.198.130,4,ICMP,42,20,52,0xde5c,128,0x0000,0
282,155.223.246.90,192.168.198.130,4,ICMP,42,20,780,0xac4f,118,0x2acc,0
283,143.199.140.133,192.168.198.130,4,ICMP,42,20,40,0x017e,128,0x0000,0
284,94.1.66.187,192.168.198.130,4,ICMP,42,20,143,0x0214,115,0xfa53,0
285,224.3.128.88,192.168.198.130,4,ICMP,42,20,71,0xe22f,56,0xf706,0
286,98.172.246.29,192.168.198.130,4,ICMP,42,20,28,0x0000,12,0x1918,1
287,109.187.101.203,192.168.198.130,4,ICMP,42,20,27,0x0000,2,0x4243,1
288,88.14.213.234,192.168.198.130,4,ICMP,42,20,49,0x0000,13,0x14ba,1
289,234.132.154.99,192.168.198.130,4,ICMP,42,20,64,0x0000,10,0x91ab,1
290,234.241.82.92,192.168.198.130,4,ICMP,42,20,64,0x0000,5,oxaf3b,1
291,160.239.133.198,192.168.198.130,6,ICMP,42,20,54,0x0000,8,0xv589,1
292,234.60.165.214,192.168.198.130,4,ICMP,42,20,41,0x0000,9,0x21ee,1
293,230.223.164.95,192.168.198.130,4,ICMP,42,20,32,0x0000,10,0x3189,1
294,57.115.228.99,192.168.198.130,6,ICMP,42,20,29,0x0000,9,0x7f8f,1
295,197.89.98.228,192.168.198.130,4,ICMP,42,20,35,0x0000,10,0xaa26,1
296,70.220.205.234,192.168.198.130,4,ICMP,42,20,40,0x0fa5,128,0x0000,0
297,31.6.83.26,192.168.198.130,4,ICMP,42,20,567,0x075e,116,0xb332,0
298,40.90.127.214,192.168.198.130,4,ICMP,42,20,780,0x3002,128,0x0000,0
299,4.193.198.55,192.168.198.130,4,ICMP,42,20,119,0x0760,116,0xb44e,0
300,142.76.78.8,192.168.198.130,4,ICMP,42,20,78,0xd5ee,128,0x0000,0
301,31.90.198.26,192.168.198.130,4,ICMP,42,20,52,0xacfc,128,0x0000,0
302,201.66.155.187,192.168.198.130,4,ICMP,42,20,52,0xacfd,128,0x0000,0
